"STATION","NAME","DATE","TMAX","TMIN"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-15","91","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-16","94","72"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-17","96","75"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-18","95","74"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-19","98","74"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-20","99","74"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-21","100","76"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-22","92","74"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-23","77","67"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-24","86","63"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-25","87","59"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-26","90","61"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-27","92","64"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-28","95","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-29","96","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-30","96","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-07-31","89","67"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-01","91","65"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-02","85","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-03","89","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-04","91","71"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-05","86","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-06","92","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-07","90","69"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-08","91","67"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-09","91","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-10","86","61"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-11","86","61"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-12","91","63"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-13","90","72"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-14","91","71"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-15","88","69"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-16","88","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-17","93","72"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-18","95","71"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-19","96","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-20","94","71"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-21","94","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-22","94","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-23","80","66"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-24","79","60"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-25","79","56"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-26","75","62"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-27","77","66"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-28","86","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-29","85","59"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-30","89","56"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-08-31","90","64"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-01","84","69"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-02","90","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-03","88","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-04","95","66"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-05","81","72"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-06","85","69"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-07","87","62"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-08","88","59"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-09","87","66"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-10","89","67"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-11","98","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-12","97","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-13","76","67"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-14","80","67"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-15","88","67"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-16","94","62"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-17","76","65"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-18","80","58"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-19","75","54"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-20","82","49"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-21","91","58"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-22","94","65"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-23","94","67"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-24","83","59"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-25","84","52"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-26","94","58"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-27","85","59"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-28","90","64"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-29","92","66"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-09-30","76","70"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-01","91","68"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-02","96","69"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-03","97","71"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-04","85","57"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-05","64","50"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-06","72","57"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-07","84","62"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-08","67","57"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-09","74","56"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-10","77","46"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-11","79","50"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-12","74","50"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-13","66","48"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-14","80","40"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-15","76","42"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-16","65","48"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-17","66","51"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-18","66","44"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-19","67","36"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-20","61","51"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-21","67","47"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-22","63","56"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-23","70","43"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-24","71","38"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-25","69","41"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-26","67","54"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-27","82","58"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-28","72","47"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-29","67","50"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-30","65","60"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-10-31","78","51"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-01","58","39"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-02","56","31"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-03","59","36"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-04","61","31"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-05","68","34"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-06","63","43"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-07","66","43"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-08","54","31"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-09","46","24"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-10","67","30"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-11","71","39"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-12","59","29"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-13","38","23"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-14","46","21"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-15","54","30"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-16","49","34"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-17","48","37"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-18","53","39"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-19","54","40"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-20","58","40"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-21","56","32"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-22","61","41"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-23","43","30"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-24","57","36"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-25","60","37"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-26","65","33"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-27","61","48"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-28","53","43"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-29","57","38"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-11-30","47","40"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-01","45","39"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-02","50","40"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-03","53","38"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-04","54","34"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-05","54","40"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-06","57","33"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-07","50","29"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-08","47","25"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-09","52","35"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-10","59","43"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-11","46","32"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-12","42","24"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-13","39","30"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-14","59","39"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-15","57","42"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-16","42","36"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-17","50","36"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-18","47","27"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-19","41","22"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-20","45","22"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-21","44","27"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-22","49","24"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-23","63","30"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-24","61","32"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-25","54","29"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-26","66","31"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-27","63","38"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-28","68","41"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-29","56","49"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-30","73","51"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2019-12-31","55","43"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2020-01-01","55","36"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2020-01-02","58","30"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2020-01-03","54","46"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2020-01-04","64","46"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2020-01-05","50","35"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2020-01-06","57","30"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","2020-01-07","42","29"
